TIME,IP,PORT,TYPE,STATUS
17:06:17,127.0.0.1,135,tcp,open
17:06:17,127.0.0.1,445,tcp,open
17:06:18,127.0.0.1,5040,tcp,open
17:06:18,127.0.0.1,5354,tcp,open
17:06:19,127.0.0.1,6463,tcp,open
17:06:19,127.0.0.1,7680,tcp,open
17:06:19,127.0.0.1,7768,tcp,open
17:06:20,127.0.0.1,10716,tcp,open
17:06:20,127.0.0.1,10717,tcp,open
17:06:20,127.0.0.1,10722,tcp,open
17:06:25,127.0.0.1,27036,tcp,open
17:06:25,127.0.0.1,27060,tcp,open
17:06:32,127.0.0.1,49664,tcp,open
17:06:32,127.0.0.1,49665,tcp,open
17:06:32,127.0.0.1,49666,tcp,open
17:06:32,127.0.0.1,49667,tcp,open
17:06:32,127.0.0.1,49668,tcp,open
17:06:32,127.0.0.1,49671,tcp,open
17:06:32,127.0.0.1,49779,tcp,open
17:06:32,127.0.0.1,49780,tcp,open
17:06:35,127.0.0.1,57621,tcp,open
17:06:37,127.0.0.1,64599,tcp,open
